                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    111,                0.32481,                0.53168,                 1.0459,                0.85295,                0.79559,                0.88659,                0.82811,                0.43996,                0.51943,                0.92755,             0.00017274,             0.00017274,             0.00017274
                    112,                0.32997,                0.53511,                 1.0471,                0.85926,                0.78037,                0.86514,                0.79694,                0.43075,                0.51964,                0.91752,             0.00016132,             0.00016132,             0.00016132
                    113,                 0.3264,                0.52025,                 1.0473,                0.83167,                0.81745,                0.88926,                 0.8331,                0.43176,                0.51893,                0.91483,              0.0001499,              0.0001499,              0.0001499
                    114,                0.33051,                0.53065,                  1.049,                0.82864,                0.81602,                0.87893,                0.82124,                0.44495,                0.53165,                 0.9376,             0.00013848,             0.00013848,             0.00013848
                    115,                0.32522,                0.50945,                 1.0346,                 0.7861,                0.85784,                0.86832,                0.80787,                0.43339,                0.53167,                 0.9222,             0.00012706,             0.00012706,             0.00012706
                    116,                0.34001,                0.48382,                 1.1125,                0.83977,                0.73569,                0.87117,                0.82257,                0.41254,                0.51508,                0.89335,             0.00011563,             0.00011563,             0.00011563
                    117,                0.33322,                0.43585,                 1.1163,                0.83437,                0.74006,                0.88187,                0.82953,                0.41344,                0.50308,                0.90304,             0.00010421,             0.00010421,             0.00010421
                    118,                0.32681,                 0.4476,                  1.106,                0.78064,                0.79871,                0.87689,                 0.8166,                0.42615,                0.51692,                 0.9158,             9.2794e-05,             9.2794e-05,             9.2794e-05
                    119,                0.31874,                0.41501,                 1.0946,                0.81917,                0.77659,                0.88343,                0.82808,                0.41876,                 0.5003,                0.90284,             8.1373e-05,             8.1373e-05,             8.1373e-05
                    120,                0.32535,                 0.4125,                 1.1029,                0.83144,                0.74947,                 0.8777,                0.81581,                0.41667,                0.50757,                0.90104,             6.9952e-05,             6.9952e-05,             6.9952e-05
                    121,                0.32308,                0.41169,                 1.1016,                 0.7111,                0.88202,                0.87689,                0.81669,                0.41491,                0.50008,                0.90055,             5.8532e-05,             5.8532e-05,             5.8532e-05
                    122,                0.32242,                0.39125,                 1.1027,                0.75681,                0.85171,                0.87371,                0.81541,                0.42296,                0.51041,                0.90859,             4.7111e-05,             4.7111e-05,             4.7111e-05
                    123,                0.32112,                0.40153,                 1.0923,                0.81841,                0.75978,                0.87488,                0.81514,                0.41769,                0.49701,                0.89957,             3.5691e-05,             3.5691e-05,             3.5691e-05
                    124,                0.31905,                 0.3895,                  1.093,                0.82727,                0.74853,                0.87463,                0.82153,                0.41534,                 0.4944,                0.89331,              2.427e-05,              2.427e-05,              2.427e-05
                    125,                0.31516,                0.39841,                 1.0939,                0.72009,                0.87043,                0.87433,                0.82102,                0.41432,                0.49777,                0.89198,              1.285e-05,              1.285e-05,              1.285e-05
