                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.35169,                0.57877,                 1.0593,                0.82658,                0.79427,                0.87334,                0.81607,                0.42323,                0.57681,                0.92189,             0.00045078,             0.00045078,             0.00045078
                     91,                0.34031,                 0.5672,                 1.0526,                0.81699,                0.76696,                0.90002,                0.84346,                0.42527,                 0.5713,                0.92037,             0.00043979,             0.00043979,             0.00043979
                     92,                 0.3498,                0.56596,                 1.0551,                0.85753,                0.83386,                0.91273,                0.85745,                0.41283,                0.52021,                0.88843,              0.0004288,              0.0004288,              0.0004288
                     93,                0.33142,                0.55639,                 1.0436,                0.82596,                0.78232,                0.85875,                0.79321,                0.44033,                0.56811,                0.94922,             0.00041781,             0.00041781,             0.00041781
                     94,                0.34342,                0.56943,                 1.0515,                0.85545,                0.73721,                0.89654,                0.83997,                0.40636,                 0.5702,                0.91028,             0.00040682,             0.00040682,             0.00040682
                     95,                0.33219,                0.55205,                 1.0446,                0.79366,                0.78444,                0.88535,                0.82781,                0.43635,                0.55585,                0.93742,             0.00039583,             0.00039583,             0.00039583
                     96,                0.33023,                0.55971,                 1.0478,                0.76581,                0.83126,                0.89157,                0.83198,                0.42256,                0.54364,                0.92836,             0.00038484,             0.00038484,             0.00038484
                     97,                0.31801,                0.55086,                  1.036,                0.82709,                0.78574,                0.88807,                0.82419,                0.41323,                 0.5486,                0.89823,             0.00037384,             0.00037384,             0.00037384
                     98,                0.34254,                 0.5471,                 1.0525,                0.76454,                0.86633,                0.89766,                 0.8285,                 0.4207,                0.53922,                0.90068,             0.00036285,             0.00036285,             0.00036285
                     99,                0.33452,                0.53337,                 1.0494,                  0.821,                0.79607,                0.89004,                0.84277,                0.41997,                0.55061,                0.91459,             0.00035186,             0.00035186,             0.00035186
                    100,                0.34169,                0.56132,                 1.0535,                0.77428,                0.81859,                  0.915,                0.84982,                0.41947,                0.54852,                 0.9197,             0.00034087,             0.00034087,             0.00034087
                    101,                0.33975,                0.56712,                 1.0528,                0.79878,                0.83831,                0.89004,                0.82651,                 0.4355,                0.59359,                0.94058,             0.00032988,             0.00032988,             0.00032988
                    102,                0.33625,                0.56037,                 1.0474,                0.86743,                0.80512,                0.90262,                0.83689,                0.43333,                0.56111,                 0.9335,             0.00031889,             0.00031889,             0.00031889
                    103,                0.33347,                0.55379,                 1.0533,                 0.8597,                0.79442,                0.92136,                0.86318,                0.43089,                0.52067,                0.93989,              0.0003079,              0.0003079,              0.0003079
                    104,                0.33296,                0.54543,                 1.0454,                0.92161,                0.76224,                0.91625,                0.85035,                0.43299,                0.52196,                0.94275,             0.00029691,             0.00029691,             0.00029691
                    105,                0.33719,                0.54954,                  1.049,                0.88126,                0.74314,                 0.9118,                0.85499,                0.42193,                0.53363,                0.91537,             0.00028591,             0.00028591,             0.00028591
                    106,                0.33433,                 0.5411,                 1.0468,                0.78085,                 0.8281,                0.91016,                0.85749,                0.42455,                0.52271,                0.92591,             0.00027492,             0.00027492,             0.00027492
                    107,                0.31879,                0.53882,                 1.0425,                0.79494,                0.84646,                0.90003,                0.84281,                0.43246,                0.53944,                0.93856,             0.00026393,             0.00026393,             0.00026393
                    108,                0.33233,                0.54047,                 1.0384,                0.83374,                0.82181,                0.91224,                0.85224,                0.43348,                0.52163,                0.93851,             0.00025294,             0.00025294,             0.00025294
                    109,                0.32356,                0.52547,                 1.0358,                0.80192,                0.86937,                 0.9087,                0.84245,                0.43023,                0.51527,                  0.938,             0.00024195,             0.00024195,             0.00024195
                    110,                0.32832,                0.53749,                  1.048,                0.90535,                0.75683,                0.90245,                 0.8406,                0.42971,                0.53854,                0.92623,             0.00023096,             0.00023096,             0.00023096
                    111,                0.32334,                0.51958,                  1.047,                 0.8557,                0.76985,                 0.9154,                0.84978,                0.41782,                0.53937,                0.92153,             0.00021997,             0.00021997,             0.00021997
                    112,                0.32433,                0.53091,                 1.0386,                0.85709,                0.79118,                0.91716,                0.87048,                0.41195,                0.54092,                0.90273,             0.00020898,             0.00020898,             0.00020898
                    113,                0.32533,                0.53077,                 1.0416,                0.85569,                0.77031,                0.92195,                0.87242,                0.39444,                0.49328,                 0.8773,             0.00019798,             0.00019798,             0.00019798
                    114,                0.33087,                0.52765,                   1.05,                0.87127,                 0.8162,                0.91785,                0.85295,                0.40506,                0.49672,                0.89291,             0.00018699,             0.00018699,             0.00018699
                    115,                0.32335,                0.51748,                 1.0358,                0.80679,                0.83425,                 0.9191,                0.86636,                0.40348,                0.49376,                0.88051,               0.000176,               0.000176,               0.000176
                    116,                 0.3266,                0.53863,                 1.0441,                0.93183,                 0.7026,                0.92502,                0.86784,                0.39188,                0.49933,                0.86739,             0.00016501,             0.00016501,             0.00016501
                    117,                0.31725,                0.51428,                 1.0395,                0.76316,                0.83347,                 0.9062,                0.84465,                0.39405,                0.50836,                0.86746,             0.00015402,             0.00015402,             0.00015402
                    118,                0.32408,                0.51523,                 1.0421,                0.74011,                0.89952,                0.92002,                0.86197,                 0.3911,                0.50498,                 0.8689,             0.00014303,             0.00014303,             0.00014303
                    119,                0.31466,                0.52188,                 1.0341,                 0.9123,                0.72779,                0.93544,                0.87919,                0.39137,                0.50684,                0.86437,             0.00013204,             0.00013204,             0.00013204
                    120,                0.33123,                0.51896,                 1.0468,                0.80053,                0.81062,                0.92766,                0.86524,                0.38597,                0.52099,                0.86629,             0.00012105,             0.00012105,             0.00012105
